id,lat,lon,ph,sand,clay,silt,cec,humus,stickstoff
A20890_4427,52.225,11.0675,5.0,25.5,23.8,50.7,31.6,76.1,6.67
A20936_4288,52.34,10.72,4.9,54.8,17.9,27.3,29.6,73.8,6.83
A20938_4283,52.345,10.7075,5.0,54.3,15.9,29.8,29.5,79.0,6.6
A20890_4421,52.225,11.0525,5.0,28.1,23.3,48.6,31.8,82.4,6.52
A20939_4265,52.3475,10.6625,5.4,46.0,18.6,35.4,28.8,63.7,5.97
A20947_4285,52.3675,10.7125,5.0,50.3,19.1,30.7,28.3,85.8,6.79
A20936_4276,52.34,10.69,5.5,53.0,17.3,29.7,30.0,70.1,7.73
A20890_4428,52.225,11.07,5.0,25.8,24.5,49.7,31.6,86.7,6.64
A21023_4074,52.5575,10.185,6.1,69.7,13.1,17.2,31.4,61.1,5.56
A20934_4294,52.335,10.735,4.9,55.9,16.8,27.4,29.7,79.3,7.23
A20939_4263,52.3475,10.6575,5.2,43.6,18.2,38.2,27.8,60.3,5.54
A20916_4138,52.29,10.345,5.1,42.9,17.7,39.5,30.9,84.2,6.34
A21002_4333,52.505,10.8325,5.3,67.2,14.0,18.8,28.3,71.3,6.6
A21101_4056,52.7525,10.14,4.7,62.6,13.9,23.5,27.1,100.6,4.89
A20820_4070,52.05,10.175,5.4,22.9,31.5,45.6,27.8,57.3,5.48
A20919_4234,52.2975,10.585,6.2,39.6,25.1,35.2,28.9,59.0,6.52
A20949_4049,52.3725,10.1225,6.4,54.4,20.9,24.8,25.4,53.8,5.51
A20955_4188,52.3875,10.47,5.5,58.7,15.5,25.7,27.4,59.1,6.26
A20894_4303,52.235,10.7575,5.2,22.9,28.9,48.3,26.0,75.4,5.86
A20906_4163,52.265,10.4075,6.2,35.5,24.1,40.4,29.6,60.3,5.69
A21028_4057,52.57,10.1425,5.6,56.4,18.3,25.2,27.9,65.3,6.47
A20949_4149,52.3725,10.3725,6.1,54.7,19.9,25.4,27.9,73.9,6.46
A20896_4209,52.24,10.5225,5.8,35.0,24.0,41.0,30.1,66.0,8.79
A20941_4227,52.3525,10.5675,5.9,51.0,17.4,31.6,28.7,56.7,6.89
A20894_4423,52.235,11.0575,5.1,36.0,19.0,45.0,31.7,78.3,7.78
