id,lat,lon,haupt,haupt_anteil,waldanteil,pixel,verteilung
W0116,52.1941,10.1,5,0.667,0.005,19800,5:0.667;6:0.156;17:0.156;2:0.022
W0117,52.1941,10.3068,17,0.551,0.133,40000,17:0.551;5:0.327;6:0.039;3:0.032;2:0.026
W0118,52.1941,10.3363,17,0.692,0.107,40000,17:0.692;5:0.251;10:0.03
W0119,52.1941,10.5431,3,0.561,0.478,40000,3:0.561;5:0.394;10:0.023
W0120,52.1941,10.6317,17,0.678,0.005,29000,17:0.678;10:0.11;8:0.096;5:0.089
W0121,52.1941,10.6908,5,0.426,0.026,40000,5:0.426;17:0.206;3:0.096;16:0.062;6:0.052;9:0.046
W0122,52.1941,10.7203,3,0.931,0.247,40000,3:0.931;5:0.046
W0123,52.1941,10.7498,3,0.741,0.907,40000,3:0.741;5:0.118;8:0.067;10:0.064
W0124,52.1941,10.7794,3,0.562,0.977,39800,3:0.562;5:0.217;10:0.115;8:0.093
W0125,52.1941,10.8089,3,0.471,0.996,40000,3:0.471;5:0.238;8:0.152;10:0.084;4:0.027
W0126,52.1941,10.8384,3,0.417,0.767,39800,3:0.417;5:0.353;10:0.111;8:0.081;4:0.023
W0127,52.1941,10.868,3,0.42,0.004,40000,3:0.42;6:0.278;5:0.243;16:0.03
W0128,52.1941,10.9271,9,0.474,0.004,40000,9:0.474;5:0.286;17:0.136;16:0.052;2:0.032
W0129,52.1941,10.9566,3,0.622,0.31,40000,3:0.622;5:0.339
W0130,52.1941,11.0452,3,0.484,0.37,40000,3:0.484;5:0.432;10:0.031;17:0.025
W0131,52.1941,11.0747,5,0.535,0.501,40000,5:0.535;3:0.279;10:0.148
W0132,52.1941,11.1043,5,0.433,0.432,39800,5:0.433;3:0.39;10:0.11;17:0.026
W0133,52.2122,10.3363,17,0.496,0.071,40000,17:0.496;5:0.325;6:0.068;3:0.05;10:0.028;2:0.021
W0134,52.2122,10.5431,5,0.835,0.113,40000,5:0.835;17:0.066;3:0.042;6:0.029
W0135,52.2122,10.5726,5,0.885,0.274,40000,5:0.885;3:0.072;17:0.021;16:0.021
W0136,52.2122,10.6021,5,0.634,0.012,40000,5:0.634;3:0.252;17:0.07;6:0.029
W0137,52.2122,10.7203,3,0.809,0.654,40000,3:0.809;5:0.077;8:0.035;10:0.027;4:0.026
W0138,52.2122,10.7498,3,0.837,0.81,40000,3:0.837;5:0.06;8:0.047;10:0.038
W0139,52.2122,10.7794,3,0.717,0.992,39800,3:0.717;5:0.147;10:0.07;8:0.057
W0140,52.2122,10.8089,3,0.59,0.947,40000,3:0.59;5:0.275;10:0.061;8:0.048
W0141,52.2122,10.8384,3,0.473,0.346,39800,3:0.473;5:0.302;10:0.118;8:0.07
W0142,52.2122,10.8975,5,0.698,0.351,33400,5:0.698;3:0.131;10:0.077;8:0.036;4:0.031
W0143,52.2122,10.9271,5,0.674,0.131,40000,5:0.674;3:0.264;17:0.028
W0144,52.2122,10.9566,5,0.58,0.577,40000,5:0.58;3:0.28;10:0.071;4:0.023
W0145,52.2122,10.9861,5,0.38,0.092,40000,5:0.38;3:0.374;10:0.198;17:0.037
W0146,52.2122,11.0157,5,0.731,0.009,40000,5:0.731;2:0.12;17:0.074;10:0.045
W0147,52.2122,11.0452,5,0.483,0.603,40000,5:0.483;10:0.148;9:0.124;3:0.121;2:0.072;17:0.022
W0148,52.2122,11.0747,5,0.423,0.826,40000,5:0.423;10:0.204;3:0.136;2:0.092;9:0.078;17:0.03
W0149,52.2122,11.1043,5,0.376,0.226,39800,5:0.376;3:0.328;10:0.116;17:0.091;2:0.038;6:0.025
W0150,52.2122,11.1338,3,0.345,0.007,40000,3:0.345;17:0.258;16:0.227;5:0.125
W0151,52.2302,10.5431,5,0.748,0.097,40000,5:0.748;17:0.072;3:0.069;4:0.034;10:0.028
W0152,52.2302,10.5726,5,0.871,0.175,40000,5:0.871;16:0.051;3:0.044;17:0.029
W0153,52.2302,10.6021,5,0.817,0.23,40000,5:0.817;3:0.164
W0154,52.2302,10.6317,5,0.76,0.478,29000,5:0.76;3:0.181
W0155,52.2302,10.6612,5,0.679,0.372,40000,5:0.679;3:0.185;10:0.049;17:0.048
W0156,52.2302,10.7203,3,0.516,0.315,40000,3:0.516;5:0.208;4:0.094;8:0.058;10:0.043;16:0.027
W0157,52.2302,10.7498,3,0.774,0.99,40000,3:0.774;5:0.076;8:0.074;10:0.053
W0158,52.2302,10.7794,3,0.658,0.959,39800,3:0.658;5:0.183;10:0.083;8:0.045
W0159,52.2302,10.8089,3,0.584,0.499,40000,3:0.584;5:0.296;10:0.067
W0160,52.2302,10.8384,5,0.667,0.001,39800,5:0.667;10:0.296
W0161,52.2302,11.0157,5,0.727,0.16,40000,5:0.727;9:0.117;10:0.073
W0162,52.2302,11.0452,5,0.644,0.939,40000,5:0.644;3:0.137;10:0.087;9:0.079;2:0.024
W0163,52.2302,11.0747,5,0.484,0.716,40000,5:0.484;3:0.207;10:0.087;9:0.074;2:0.066;8:0.034
W0164,52.2302,11.1043,5,0.386,0.024,39800,5:0.386;17:0.341;3:0.117;6:0.048;2:0.025;16:0.025
W0165,52.2482,10.1591,5,0.782,0.017,23800,5:0.782;3:0.185;16:0.02
W0166,52.2482,10.4545,5,0.885,0.431,23800,5:0.885;10:0.047;3:0.027
W0167,52.2482,10.5135,17,1.0,0.0,23800,17:1.0
W0168,52.2482,10.6317,5,0.683,0.136,17255,5:0.683;6:0.134;3:0.069;17:0.057;2:0.036
W0169,52.2482,10.6612,5,0.846,0.132,23800,5:0.846;9:0.053;3:0.03;17:0.026;2:0.022
W0170,52.2482,10.6908,5,0.674,0.108,23800,5:0.674;17:0.136;3:0.081;10:0.061
W0171,52.2482,10.7498,3,0.633,0.351,23800,3:0.633;5:0.169;4:0.072;10:0.06;8:0.035
W0172,52.2482,10.7794,3,0.567,0.662,23681,3:0.567;5:0.384;10:0.02
W0173,52.2482,10.8089,3,0.492,0.029,23800,3:0.492;5:0.469
W0174,52.2482,10.9566,9,0.632,0.012,23800,9:0.632;8:0.078;17:0.078;2:0.068;5:0.068;4:0.041
W0175,52.2482,10.9861,5,0.399,0.309,23800,5:0.399;9:0.374;10:0.13;2:0.052
W0176,52.2482,11.0157,5,0.791,0.859,23800,5:0.791;9:0.077;10:0.07;3:0.026
W0177,52.2482,11.0452,5,0.513,1.0,23800,5:0.513;10:0.168;3:0.146;9:0.093;2:0.038;8:0.027
W0178,52.2482,11.0747,5,0.285,0.482,23800,5:0.285;3:0.275;10:0.177;9:0.139;8:0.043;4:0.035
W0179,52.2482,11.1043,17,0.429,0.054,23681,17:0.429;5:0.378;9:0.094;2:0.049
W0180,52.2482,11.1338,9,0.298,0.437,23800,9:0.298;5:0.232;10:0.211;8:0.094;2:0.048;4:0.042
W0181,52.2662,10.1886,5,0.435,0.073,40000,5:0.435;17:0.363;3:0.146;6:0.021
W0182,52.2662,10.2477,5,0.677,0.072,40000,5:0.677;3:0.264;17:0.038
W0183,52.2662,10.2772,5,0.757,0.24,40000,5:0.757;3:0.196;17:0.021
W0184,52.2662,10.3068,5,0.647,0.191,40000,5:0.647;3:0.286;17:0.025
W0185,52.2662,10.6021,5,0.774,0.452,40000,5:0.774;17:0.05;10:0.049;3:0.041;2:0.034;6:0.024
W0186,52.2662,10.6317,17,0.461,0.106,29000,17:0.461;5:0.238;10:0.089;2:0.081;9:0.077;3:0.024
W0187,52.2662,10.6612,5,0.64,0.43,40000,5:0.64;17:0.072;10:0.072;2:0.056;16:0.055;3:0.048
W0188,52.2662,10.7203,5,0.723,0.16,40000,5:0.723;3:0.16;17:0.037;16:0.029;6:0.025
W0189,52.2662,10.868,3,0.778,0.13,40000,3:0.778;5:0.173;17:0.025
W0190,52.2662,10.8975,5,0.524,0.486,33400,5:0.524;3:0.414
W0191,52.2662,10.9566,9,0.392,0.192,40000,9:0.392;5:0.235;10:0.099;2:0.088;17:0.081;6:0.044
W0192,52.2662,10.9861,5,0.532,0.65,40000,5:0.532;9:0.25;10:0.066;2:0.052;3:0.047
W0193,52.2662,11.0157,5,0.471,1.0,40000,5:0.471;9:0.251;3:0.1;10:0.083;8:0.047;2:0.028
W0194,52.2662,11.0452,5,0.523,0.945,40000,5:0.523;3:0.129;9:0.127;10:0.115;2:0.037;4:0.029
W0195,52.2662,11.0747,3,0.418,0.334,40000,3:0.418;5:0.365;17:0.069;10:0.045;9:0.044;2:0.021
W0196,52.2662,11.1043,5,0.499,0.515,39800,5:0.499;3:0.353;10:0.045;9:0.044;17:0.029
W0197,52.2662,11.1338,5,0.229,0.909,40000,5:0.229;10:0.221;3:0.216;9:0.15;2:0.095;8:0.042
W0198,52.2842,10.1,5,0.697,0.006,19800,5:0.697;17:0.168;6:0.076;3:0.034;16:0.025
W0199,52.2842,10.1886,5,0.491,0.334,40000,5:0.491;3:0.397;17:0.061;6:0.021
W0200,52.2842,10.2477,5,0.524,0.186,40000,5:0.524;3:0.27;6:0.08;17:0.038;16:0.032;10:0.03
W0201,52.2842,10.3363,5,0.6,0.355,40000,5:0.6;3:0.122;9:0.092;10:0.092;2:0.031;17:0.024
W0202,52.2842,10.3658,5,0.605,0.084,24400,5:0.605;10:0.082;3:0.071;17:0.07;8:0.058;4:0.043
W0203,52.2842,10.3954,5,0.787,0.074,40000,5:0.787;17:0.081;3:0.049;4:0.024;10:0.02
W0204,52.2842,10.4545,5,0.629,0.247,40000,5:0.629;3:0.194;6:0.066;17:0.044;2:0.022;10:0.021
W0205,52.2842,10.5135,3,0.325,0.001,40000,3:0.325;5:0.325;6:0.325;17:0.025
W0206,52.2842,10.5431,5,0.801,0.046,40000,5:0.801;17:0.147;3:0.023
W0207,52.2842,10.5726,6,0.304,0.073,40000,6:0.304;5:0.264;17:0.245;2:0.14;10:0.039
W0208,52.2842,10.6021,5,0.478,0.178,40000,5:0.478;6:0.214;3:0.183;10:0.04;17:0.037;2:0.03
W0209,52.2842,10.6317,5,0.522,0.238,29000,5:0.522;3:0.392;17:0.046;6:0.03
W0210,52.2842,10.7203,5,0.622,0.14,40000,5:0.622;3:0.208;6:0.04;10:0.04;17:0.029;2:0.028
W0211,52.2842,10.8089,9,0.411,0.432,40000,9:0.411;2:0.326;6:0.091;5:0.06;4:0.048;10:0.045
W0212,52.2842,10.8384,5,0.303,0.109,39800,5:0.303;17:0.179;2:0.169;6:0.098;9:0.088;3:0.088
W0213,52.2842,10.868,5,0.401,0.717,40000,5:0.401;3:0.353;9:0.08;8:0.053;4:0.052;10:0.033
W0214,52.2842,10.8975,5,0.39,0.806,33400,5:0.39;3:0.385;9:0.094;4:0.037;8:0.036;10:0.03
W0215,52.2842,11.0157,9,0.476,0.856,40000,9:0.476;5:0.196;10:0.144;2:0.056;8:0.046;3:0.039
W0216,52.2842,11.0452,9,0.339,0.521,40000,9:0.339;5:0.191;3:0.143;10:0.127;2:0.062;8:0.059
W0217,52.2842,11.0747,17,0.394,0.068,40000,17:0.394;5:0.327;3:0.156;16:0.066;6:0.047
W0218,52.2842,11.1043,5,0.441,0.069,39800,5:0.441;3:0.239;17:0.14;10:0.077;9:0.07;6:0.022
W0219,52.2842,11.1338,5,0.684,0.142,40000,5:0.684;3:0.116;17:0.078;10:0.048;2:0.025
W0220,52.3023,10.1886,5,0.45,0.07,40000,5:0.45;3:0.215;17:0.16;2:0.072;10:0.032;9:0.023
W0221,52.3023,10.2772,5,0.827,0.197,40000,5:0.827;3:0.086;10:0.046
W0222,52.3023,10.3068,5,0.796,0.042,40000,5:0.796;3:0.084;10:0.073;17:0.026
W0223,52.3023,10.3363,5,0.631,0.574,40000,5:0.631;3:0.105;10:0.076;9:0.056;2:0.041;8:0.038
W0224,52.3023,10.3658,5,0.549,0.571,24400,5:0.549;3:0.206;9:0.057;10:0.056;17:0.044;8:0.026
W0225,52.3023,10.4249,5,0.626,0.124,40000,5:0.626;3:0.24;10:0.037;2:0.029;17:0.028;4:0.021
W0226,52.3023,10.5431,5,0.589,0.251,40000,5:0.589;9:0.149;10:0.089;17:0.055;2:0.047;6:0.038
W0227,52.3023,10.5726,5,0.636,0.174,40000,5:0.636;10:0.112;9:0.095;17:0.047;3:0.031;2:0.031
W0228,52.3023,10.6317,5,0.746,0.391,29000,5:0.746;3:0.15;17:0.033;9:0.024
W0229,52.3023,10.6612,5,0.666,0.365,40000,5:0.666;3:0.219;9:0.052;6:0.02
W0230,52.3023,10.6908,5,0.584,0.427,40000,5:0.584;9:0.161;3:0.088;10:0.07;17:0.031;2:0.03
W0231,52.3023,10.7203,5,0.656,0.207,40000,5:0.656;9:0.127;17:0.101;3:0.037;10:0.028;6:0.025
W0232,52.3023,10.8089,5,0.376,0.04,40000,5:0.376;17:0.215;9:0.16;6:0.095;2:0.078;10:0.055
W0233,52.3023,10.8384,5,0.415,0.196,39800,5:0.415;3:0.163;9:0.095;17:0.086;10:0.076;4:0.064
W0234,52.3023,10.868,9,0.434,0.141,40000,9:0.434;5:0.255;10:0.089;2:0.052;4:0.05;3:0.041
W0235,52.3023,10.8975,9,0.558,0.084,33400,9:0.558;5:0.17;10:0.075;17:0.072;4:0.054;2:0.033
W0236,52.3023,10.9271,5,0.904,0.175,40000,5:0.904;10:0.038;17:0.022
W0237,52.3023,10.9861,5,0.534,0.715,40000,5:0.534;3:0.204;9:0.123;10:0.07;17:0.028
W0238,52.3023,11.0157,5,0.548,0.403,40000,5:0.548;3:0.132;9:0.114;10:0.109;17:0.04;8:0.03
W0239,52.3023,11.0452,5,0.391,0.166,40000,5:0.391;17:0.172;2:0.108;3:0.101;10:0.098;9:0.079
W0240,52.3023,11.0747,5,0.421,0.458,40000,5:0.421;3:0.393;17:0.138
W0241,52.3023,11.1043,5,0.616,0.243,39800,5:0.616;9:0.186;10:0.124;17:0.028;3:0.022
W0242,52.3023,11.1338,5,0.64,0.44,40000,5:0.64;3:0.261;17:0.04;10:0.032
W0243,52.3203,10.2182,17,0.388,0.114,40000,17:0.388;6:0.255;5:0.218;2:0.061;3:0.035;10:0.021
W0244,52.3203,10.3068,5,0.596,0.538,40000,5:0.596;3:0.315;17:0.04
W0245,52.3203,10.3363,5,0.492,0.339,40000,5:0.492;3:0.252;9:0.157;10:0.031;17:0.026
W0246,52.3203,10.5726,5,0.774,0.472,40000,5:0.774;3:0.116;17:0.038;10:0.033
