art,gbif_id,datum,lat,lon,unsicherheit_m,ort
steinpilz,4506239995,2023-07-31,51.51696,10.15134,45.0,
steinpilz,4596738273,2023-07-22,51.77766,10.53469,,
steinpilz,4171754511,2023-08-05,53.22264,10.4109,,
steinpilz,4177171017,2023-08-13,52.30832,10.4772,12.0,
steinpilz,4177371100,2023-08-13,51.83258,10.30604,4.0,
steinpilz,4177412068,2023-08-13,51.84036,10.33863,14.0,
steinpilz,4400016800,2023-08-13,51.84035,10.33893,16.0,
steinpilz,4400065534,2023-08-15,52.32174,10.42372,16.0,
steinpilz,4409159375,2023-08-02,53.07293,10.19986,,LG Lüneburg (Landkreis)
steinpilz,4409520204,2023-08-05,53.10668,9.82536,25.0,LG VSG Lüneburger Heide
steinpilz,4410455347,2023-08-12,53.222,10.82062,12.0,LG Bleckede
steinpilz,4458594081,2023-08-13,51.95177,9.19975,2103.0,
steinpilz,4459469040,2023-08-14,52.09763,9.89868,,HI VSG Hildesheimer Wald
steinpilz,4460242085,2023-08-19,53.13241,10.11875,4.0,LG LSG Lüneburger Heide
steinpilz,4460578426,2023-08-16,51.52954,9.00196,6.0,NSG Hammerbachtal
steinpilz,4461031708,2023-08-05,52.89201,10.08697,14.0,Örtze mit Nebenbächen - N2000
steinpilz,4461328283,2023-08-16,51.87924,10.57442,,GS Bad Harzburg
steinpilz,4461558520,2023-08-19,52.06516,10.00283,7.0,HI LSG Bad Salzdetfurth
steinpilz,4462190784,2023-08-16,51.52937,9.00213,5.0,NSG Hammerbachtal
steinpilz,4506238040,2023-08-04,51.50199,10.16927,1565.0,
steinpilz,4506402057,2023-08-05,51.51799,10.15119,282.0,
steinpilz,4506413061,2023-08-03,51.5168,10.15122,13.0,
steinpilz,4596743285,2023-08-14,52.28195,10.47405,205.0,
steinpilz,4852751246,2023-08-13,51.84033,10.33889,21.0,
steinpilz,5014376696,2023-08-10,52.17211,9.4075,250.0,Süntel: Süd
steinpilz,5021073575,2023-08-17,52.12361,9.37388,250.0,TK25 Blatt 3822/3 - Weser / Hameln
steinpilz,5168070559,2023-08-13,52.30265,9.28098,322.0,
steinpilz,5168174558,2023-08-13,52.31763,9.30092,548.0,
steinpilz,5176599392,2023-08-17,52.12903,9.35928,,
steinpilz,4414408703,2023-09-16,51.72507,10.61668,266.0,
steinpilz,4461764518,2023-09-21,52.52794,9.36554,207.0,LSG Schneerener Geest - Eisenberg
steinpilz,4462547888,2023-09-29,51.65023,9.59618,6.0,LSG Solling
steinpilz,5014706934,2023-09-10,53.42038,11.35265,250.0,Waldgebiet bei Kraak
steinpilz,5015185851,2023-09-30,51.90777,9.79086,250.0,Mailerplatz im Hagental
steinpilz,5017993055,2023-09-25,53.22768,10.49771,250.0,"Bilmer Strauch, südl. B216"
steinpilz,5020721110,2023-09-10,52.46332,9.86434,250.0,Lohner Wald
steinpilz,4424362068,2023-10-09,52.61626,10.1216,10.0,
steinpilz,4430775819,2023-10-22,52.58,9.84517,6.0,
steinpilz,4431026988,2023-10-13,52.12837,9.37187,,
steinpilz,4431064959,2023-10-13,52.1283,9.37186,,
steinpilz,4436180642,2023-10-25,52.93417,9.30863,,
steinpilz,4436189194,2023-10-30,52.13031,9.37324,,
steinpilz,4436270946,2023-10-30,53.22139,10.41507,,
steinpilz,4436271860,2023-10-29,52.45771,10.81873,,
steinpilz,4438750229,2023-10-22,52.23617,10.47519,26068.0,
steinpilz,4461587287,2023-10-07,51.59162,9.44724,,Holzapetal - N2000
steinpilz,4535806947,2023-10-06,52.17884,9.37528,11.0,
steinpilz,4597366094,2023-10-31,53.08314,10.65392,25940.0,
steinpilz,4880494083,2023-10-29,53.15565,9.8249,14.0,HK - Camp Reinsehlen
steinpilz,4882596724,2023-10-29,53.1548,9.95966,7.0,LG VSG Lüneburger Heide
steinpilz,4884709724,2023-10-28,53.15569,9.8202,14.0,HK - Camp Reinsehlen
steinpilz,4885060526,2023-10-29,53.12627,9.89922,28.0,LG VSG Lüneburger Heide
steinpilz,4891265569,2023-10-29,53.12893,9.82392,114.0,LG VSG Lüneburger Heide
steinpilz,4925895296,2023-10-22,53.20643,9.13695,4.0,
steinpilz,4926107051,2023-10-26,53.12476,9.08371,4.0,
steinpilz,4926332371,2023-10-28,52.93344,9.30216,5.0,
steinpilz,5012974763,2023-10-19,52.44976,9.14762,250.0,Klosterwald Loccum
steinpilz,5013024278,2023-10-28,53.15017,9.82332,250.0,Camp Reinsehlen
steinpilz,5013576860,2023-10-29,53.43081,11.34281,250.0,Kraaker Mühlenbach östl. von Moraas
steinpilz,5014217471,2023-10-30,53.11412,9.88152,250.0,Lüneburger Heide- nördl. Bockheber
steinpilz,5014393566,2023-10-29,53.42038,11.35265,250.0,Waldgebiet bei Kraak
steinpilz,5014790120,2023-10-23,52.26443,11.12395,250.0,Bartenslebener Forst
steinpilz,5014895722,2023-10-18,52.45988,9.19221,250.0,Mischwald beim Denkhaus in Loccum
steinpilz,5016680227,2023-10-29,52.59049,10.07851,250.0,Westercelle Süd bis Bennebostel
steinpilz,5016758722,2023-10-30,53.15058,10.46396,250.0,Ilmenau Bienenbüttel-Grünhagen
steinpilz,5017283744,2023-10-03,53.22099,10.42791,250.0,"Tiergarten, Lüneburg"
steinpilz,5019855924,2023-10-28,53.11587,9.83294,250.0,Heideflächen östlich Schneverdingen
steinpilz,5022679289,2023-10-07,52.53689,9.70311,250.0,Henjeskamp
steinpilz,5023286299,2023-10-08,53.45808,11.24365,250.0,Viezer Heide (TÜP) und umgebender Wald
steinpilz,5023534561,2023-10-30,53.15653,9.944,250.0,Waldgebiete westl. Wilsede
steinpilz,5024799011,2023-10-13,52.12361,9.37388,250.0,TK25 Blatt 3822/3 - Weser / Hameln
steinpilz,5025099383,2023-10-30,52.12361,9.37388,250.0,TK25 Blatt 3822/3 - Weser / Hameln
steinpilz,5025356213,2023-10-21,52.53689,9.70311,250.0,Henjeskamp
steinpilz,5027136863,2023-10-15,53.15382,10.42026,250.0,"Melbeck, Wald zwischen B4 und L233 bzw. Forellenbachtal"
steinpilz,5283453294,2023-10-08,52.29124,10.34536,,LSG Staatsforst Sophiental und angrenzende Forste
steinpilz,5935444001,2023-10-22,53.02411,11.83253,3.0,
steinpilz,4438809799,2023-11-05,52.02966,10.2035,,
steinpilz,4438813467,2023-11-04,52.07992,10.08562,,
steinpilz,4438979506,2023-11-04,52.27318,10.59318,7.0,
steinpilz,4440982690,2023-11-14,52.18935,10.74911,,
steinpilz,4442465953,2023-11-21,52.29617,10.62801,38.0,
steinpilz,4461734327,2023-11-21,52.29545,10.6285,59.0,LSG Schapener Forst
steinpilz,4507609291,2023-11-21,52.29616,10.628,4.0,
steinpilz,4925997958,2023-11-11,52.76073,9.6888,3.0,
steinpilz,4926076082,2023-11-11,52.76028,9.67187,11.0,
steinpilz,5014533676,2023-11-12,52.1297,9.84593,250.0,Hildesheimer Wald: Nord
steinpilz,5018698422,2023-11-04,52.44976,9.14762,250.0,Klosterwald Loccum
steinpilz,5019947679,2023-11-11,53.30104,11.15872,250.0,Nationales Naturerbe Lübtheener Heide
steinpilz,5020772927,2023-11-22,52.072,9.96838,250.0,Hildesheimer Wald: Süd
steinpilz,5020801351,2023-11-21,52.30459,10.61156,250.0,BS-NO
steinpilz,5022169004,2023-11-02,53.40713,10.23547,25.0,TK25 Blatt 2527/3 - Elbe / Kirchwerder / Neuengamme
steinpilz,5022811039,2023-11-15,52.17184,10.82425,250.0,Elm Eitzum
steinpilz,5154512246,2023-11-02,52.84398,9.46547,25972.0,
steinpilz,5166770549,2023-11-11,52.75337,9.67145,3.0,
steinpilz,6188396872,2023-11-11,52.76375,9.68186,10.0,
steinpilz,3923662083,2022-09-30,52.30756,10.55541,195.0,
steinpilz,3994157579,2022-09-30,53.27046,9.75699,174.0,
steinpilz,3995107824,2022-09-01,52.97754,9.8419,230.0,HK Heidekreis (Landkreis)
steinpilz,3995120246,2022-09-25,52.2868,9.43655,4.0,LSG Norddeister
steinpilz,3995176079,2022-09-10,53.12081,10.82022,,Buchen- und Eichenwälder in der Göhrde (mit Breeser Grund) -
steinpilz,3995343484,2022-09-18,51.97593,9.68093,12.0,NSG Duinger Wald
steinpilz,3995514483,2022-09-25,52.28682,9.43666,7.0,LSG Norddeister
steinpilz,3995522233,2022-09-28,53.14734,9.91013,,LG VSG Lüneburger Heide
steinpilz,3995572339,2022-09-21,53.10718,9.91941,7.0,LG VSG Lüneburger Heide
steinpilz,3996021046,2022-09-15,53.06545,10.81213,25.0,UE Uelzen (Landkreis)
steinpilz,3996171337,2022-09-25,53.05801,9.88484,25.0,LG VSG Lüneburger Heide
steinpilz,3996465592,2022-09-21,53.1069,9.9196,12.0,LG VSG Lüneburger Heide
steinpilz,3996583378,2022-09-25,52.12347,10.14469,28.0,HI LSG Vorholzer Bergland
steinpilz,3996849382,2022-09-11,52.89749,10.09212,8.0,Übungsplatz Munster
steinpilz,3997090116,2022-09-20,52.12351,10.1365,36.0,HI LSG Vorholzer Bergland
steinpilz,3997101587,2022-09-18,51.97598,9.68073,48.0,HI Hildesheim (Landkreis)
steinpilz,3997203353,2022-09-10,52.42379,10.93973,195.0,LSG Velpker Schweiz
steinpilz,3997231216,2022-09-17,53.266,10.68874,25.0,LG Lüneburg (Landkreis)
steinpilz,4133614531,2022-09-25,53.22241,10.70264,330.0,
steinpilz,4440776646,2022-09-13,52.83782,10.34065,2555.0,
steinpilz,4935712229,2022-09-23,52.42898,9.92943,2619.0,
steinpilz,5013009716,2022-09-25,51.92364,9.79049,250.0,TK25 Blatt 4024/4 - Delligsen / Kaierde
steinpilz,5014006642,2022-09-28,52.32359,10.70701,250.0,TK25 Blatt 3630/3 - Lehre
steinpilz,5014356946,2022-09-15,53.16673,10.00609,250.0,Döhler Fuhren
steinpilz,5014677743,2022-09-25,52.54154,9.83,250.0,Sprillgehege
steinpilz,5022828086,2022-09-25,52.59049,10.07851,250.0,Westercelle Süd bis Bennebostel
steinpilz,5026988220,2022-09-24,52.53689,9.70311,250.0,Henjeskamp
steinpilz,6411502689,2022-09-23,52.91424,9.67326,,HK Heidekreis (Landkreis)
steinpilz,6411550427,2022-09-30,53.1449,9.91041,8.0,LG VSG Lüneburger Heide
steinpilz,6412167509,2022-09-30,53.21165,10.33659,4.0,NSG Hasenburger Bachtal
steinpilz,6412662311,2022-09-30,53.21162,10.33422,5.0,LG LSG Lüneburger Heide
steinpilz,3923269463,2022-10-03,52.28164,10.47286,65.0,
steinpilz,3923508584,2022-10-03,52.27139,10.45204,26068.0,
steinpilz,3925001953,2022-10-06,53.25656,10.43351,87.0,
steinpilz,3925057242,2022-10-08,52.96734,10.24609,43.0,
steinpilz,3925156054,2022-10-07,52.27244,10.59072,58.0,
steinpilz,3925189837,2022-10-05,53.25746,10.4349,8.0,
steinpilz,3925206471,2022-10-09,52.35785,10.58355,26068.0,
steinpilz,3925339453,2022-10-09,52.27635,10.57773,9.0,
steinpilz,3925471380,2022-10-09,52.369,10.52155,26068.0,
steinpilz,3925474467,2022-10-09,52.2226,10.58981,19.0,
steinpilz,3925480454,2022-10-09,52.29067,10.54273,26068.0,
steinpilz,3925483415,2022-10-09,52.39432,10.59323,26068.0,
steinpilz,3947309224,2022-10-13,52.54598,10.23959,365.0,
steinpilz,3947417988,2022-10-09,53.222,10.80328,1560.0,
steinpilz,3947605921,2022-10-02,52.28226,10.46959,263.0,
steinpilz,3947723682,2022-10-16,52.2669,10.68915,26068.0,
steinpilz,3947758410,2022-10-14,52.34799,10.82705,,
steinpilz,3985616881,2022-10-22,51.60655,10.53132,8.0,
steinpilz,3988500579,2022-10-07,53.2274,10.07485,4.0,
steinpilz,3988593579,2022-10-04,52.68211,10.3032,26004.0,
steinpilz,3988600594,2022-10-14,52.34995,10.82836,,
steinpilz,3995366351,2022-10-13,52.17377,9.9198,25.0,HI NSG Mastberg und Innersteaue
steinpilz,3995400438,2022-10-10,52.13295,9.83947,25.0,Hildesheimer Wald - N2000
steinpilz,3995537465,2022-10-14,52.25141,9.47465,5.0,NSG Köllnischfeld
steinpilz,3995955425,2022-10-11,53.16792,10.33088,25.0,LG LSG Lüneburger Heide
steinpilz,3996062578,2022-10-07,52.07873,9.92245,25.0,HI VSG Hildesheimer Wald
steinpilz,3996256377,2022-10-13,53.10624,9.9133,25.0,LG VSG Lüneburger Heide
steinpilz,3996472390,2022-10-07,52.04937,10.16759,59.0,HI LSG Hainberg
steinpilz,3996528364,2022-10-12,52.29507,10.62936,25.0,LSG Schapener Forst
steinpilz,3996641515,2022-10-12,53.16636,9.97058,13.0,LG VSG Lüneburger Heide
steinpilz,3996954646,2022-10-11,53.05724,9.88679,25.0,LG VSG Lüneburger Heide
steinpilz,4015218659,2022-10-04,52.83919,10.03754,25972.0,
steinpilz,4126680296,2022-10-16,52.71063,9.23486,,
steinpilz,4176935735,2022-10-06,51.76324,11.2742,26164.0,
