id,lat,lon,ph,cec,sand,clay,silt,humus,stickstoff
F52.211_10.572,52.211,10.572,5.63,24.57,32.63,23.83,43.47,45.53,3.84
F52.387_10.516,52.387,10.516,6.23,21.13,57.87,15.77,26.37,28.6,3.16
F52.703_9.803,52.703,9.803,5.53,19.57,70.5,11.83,17.67,52.67,3.4
F53.113_9.371,53.113,9.371,5.13,18.67,70.67,10.53,18.77,58.67,3.57
F52.939_10.16,52.939,10.16,5.03,20.43,72.23,12.57,15.2,50.53,3.38
F52.458_9.865,52.458,9.865,5.57,20.9,42.23,30.53,27.23,45.57,3.25
F53.444_9.923,53.444,9.923,4.97,18.47,48.4,15.17,36.43,55.53,3.51
F52.818_10.143,52.818,10.143,5.2,20.53,50.47,21.47,28.03,46.53,3.6
F52.412_10.328,52.412,10.328,5.53,22.03,54.5,14.87,30.63,38.6,3.35
F53.225_9.783,53.225,9.783,5.4,20.5,69.47,8.3,22.17,59.53,4.19
F52.347_10.725,52.347,10.725,5.0,21.63,50.5,15.73,33.73,37.43,3.42
F53.159_11.347,53.159,11.347,5.53,22.13,77.13,8.5,14.4,46.6,3.81
F52.258_10.56,52.258,10.56,5.3,22.63,35.73,25.77,38.5,53.1,4.6
F53.373_9.707,53.373,9.707,6.03,17.1,72.27,8.33,19.37,62.5,2.99
F52.263_9.2,52.263,9.2,4.6,23.13,19.0,23.67,57.3,94.53,4.74
F52.251_10.462,52.251,10.462,5.43,23.3,37.57,24.87,37.53,41.2,3.26
F53.018_9.021,53.018,9.021,5.53,21.8,55.97,15.33,28.7,66.73,4.08
F52.437_9.49,52.437,9.49,6.0,23.2,48.93,23.2,27.9,43.03,3.86
F52.493_9.467,52.493,9.467,5.67,22.07,53.17,17.27,29.53,41.23,2.86
F53.342_10.504,53.342,10.504,6.03,24.6,50.8,22.5,26.7,57.4,3.99
F51.96_10.226,51.96,10.226,6.83,22.1,19.3,29.87,50.83,30.47,3.05
F53.166_9.961,53.166,9.961,5.17,19.77,43.33,16.9,39.77,56.8,3.55
F52.804_10.002,52.804,10.002,5.1,20.0,47.0,19.0,34.0,42.83,3.97
F51.562_9.91,51.562,9.91,5.8,22.6,36.63,24.5,38.83,39.9,3.25
F53.475_10.112,53.475,10.112,5.83,26.33,44.83,19.7,35.47,84.4,4.64
F53.235_10.21,53.235,10.21,5.47,22.27,61.87,10.47,27.67,44.03,4.08
F52.266_10.398,52.266,10.398,5.97,22.2,35.8,23.6,40.57,36.43,3.58
F53.193_10.426,53.193,10.426,5.63,19.87,61.37,13.27,25.4,46.97,4.08
F53.454_9.919,53.454,9.919,5.23,17.37,51.07,14.0,34.87,50.67,3.19
F51.736_11.008,51.736,11.008,5.37,22.4,18.63,24.5,56.87,45.93,3.64
F51.749_10.576,51.749,10.576,4.53,28.9,27.17,23.07,49.77,98.3,5.29
F53.079_10.2,53.079,10.2,5.0,17.97,70.53,10.47,19.0,58.0,4.01
F52.279_10.801,52.279,10.801,6.23,23.5,49.83,17.53,32.57,38.5,4.32
F52.767_9.715,52.767,9.715,5.37,18.0,47.17,16.97,35.9,37.73,2.94
F53.316_10.904,53.316,10.904,5.63,19.87,69.73,11.8,18.47,54.57,3.67
F52.13_9.972,52.13,9.972,6.67,21.13,25.23,28.17,46.63,39.33,2.96
F51.509_9.883,51.509,9.883,6.67,20.5,36.13,27.67,36.2,30.6,2.99
F52.306_10.655,52.306,10.655,5.27,23.57,45.8,18.23,36.0,46.2,4.68
F51.843_11.982,51.843,11.982,6.83,23.0,50.43,20.23,29.33,31.1,3.51
F52.14_9.904,52.14,9.904,5.33,19.2,21.8,28.87,49.33,40.77,4.04
F51.686_11.308,51.686,11.308,5.27,22.57,17.97,23.97,58.07,41.43,3.45
F53.154_9.937,53.154,9.937,5.0,18.9,64.23,13.3,22.47,58.57,3.45
F51.643_10.648,51.643,10.648,4.87,25.37,27.37,27.87,44.8,75.53,4.34
F53.224_9.809,53.224,9.809,5.5,24.17,65.6,8.87,25.53,54.13,4.06
F51.744_10.643,51.744,10.643,4.67,31.67,24.57,22.8,52.63,89.3,4.84
F51.685_10.267,51.685,10.267,5.4,21.97,31.7,23.8,44.5,44.77,3.11
