datum,meldungen
2024-02-28,1
2024-02-29,1
2024-03-01,3
2024-03-02,2
2024-03-03,7
2024-03-04,1
2024-03-05,3
2024-03-06,2
2024-03-07,4
2024-03-08,2
2024-03-09,4
2024-03-10,5
2024-03-11,6
2024-03-12,1
2024-03-14,2
2024-03-15,1
2024-03-16,1
2024-03-17,6
2024-03-18,1
2024-03-19,6
2024-03-24,1
2024-03-25,1
2024-03-26,1
2024-03-27,2
2024-03-29,8
2024-03-30,4
2024-03-31,6
2024-04-01,1
2024-04-03,6
2024-04-04,2
2024-04-06,2
2024-04-07,7
2024-04-09,1
2024-04-11,1
2024-04-12,2
2024-04-13,4
2024-04-14,1
2024-04-15,1
2024-04-18,1
2024-04-19,1
2024-04-20,1
2024-04-21,2
2024-04-22,1
2024-04-23,1
2024-04-26,1
2024-04-27,5
2024-04-28,2
2024-04-30,8
2024-05-03,1
2024-05-05,1
2024-05-07,2
2024-05-08,1
2024-05-09,2
2024-05-10,1
2024-05-11,2
2024-05-12,2
2024-05-14,4
2024-05-18,1
2024-05-19,2
2024-05-20,1
2024-05-21,1
2024-05-22,1
2024-05-24,2
2024-05-25,1
2024-05-26,1
2024-05-27,1
2024-05-31,4
2024-06-05,2
2024-06-08,3
2024-06-09,1
2024-06-10,3
2024-06-12,1
2024-06-16,2
2024-06-19,2
2024-06-20,1
2024-06-22,1
2024-06-23,11
2024-06-25,1
2024-06-27,2
2024-07-03,1
2024-07-06,1
2024-07-07,1
2024-07-11,1
2024-07-12,1
2024-07-13,5
2024-07-14,2
2024-07-16,1
2024-07-18,2
2024-07-19,3
2024-07-22,2
2024-07-23,1
2024-07-24,1
2024-07-25,1
2024-07-26,1
2024-07-27,7
2024-07-28,5
2024-08-01,1
2024-08-02,7
2024-08-03,4
2024-08-04,3
2024-08-05,2
2024-08-06,5
2024-08-07,4
2024-08-08,5
2024-08-09,5
2024-08-10,3
2024-08-11,2
2024-08-12,2
2024-08-15,1
2024-08-16,2
2024-08-17,3
2024-08-18,3
2024-08-21,1
2024-08-22,1
2024-08-23,3
2024-08-27,1
2024-08-28,1
2024-08-30,1
2024-08-31,1
2024-09-01,3
2024-09-02,3
2024-09-05,3
2024-09-07,1
2024-09-08,5
2024-09-09,1
2024-09-10,2
2024-09-12,1
2024-09-13,2
2024-09-15,3
2024-09-17,1
2024-09-18,2
2024-09-19,2
2024-09-20,2
2024-09-21,1
2024-09-22,2
2024-09-23,4
2024-09-24,6
2024-09-25,2
2024-09-26,1
2024-09-27,4
2024-09-29,10
2024-09-30,1
2024-10-01,5
2024-10-02,5
2024-10-03,14
2024-10-04,11
2024-10-05,7
2024-10-06,17
2024-10-07,6
2024-10-08,8
2024-10-09,4
2024-10-10,2
2024-10-11,18
2024-10-12,48
2024-10-13,6
2024-10-14,5
2024-10-15,12
2024-10-16,11
2024-10-17,7
2024-10-18,13
2024-10-19,26
2024-10-20,49
2024-10-21,2
2024-10-22,1
2024-10-23,9
2024-10-24,7
2024-10-25,8
2024-10-26,41
2024-10-27,9
2024-10-28,5
2024-10-29,8
2024-10-30,11
2024-10-31,14
2024-11-01,9
2024-11-02,10
2024-11-03,30
2024-11-04,1
2024-11-05,1
2024-11-06,3
2024-11-08,3
2024-11-09,7
2024-11-10,1
2024-11-11,2
2024-11-12,1
2024-11-13,1
2024-11-14,5
2024-11-15,1
2024-11-16,11
2024-11-17,4
2024-11-18,5
2024-11-22,1
2024-11-24,3
2024-11-25,3
2024-11-26,2
2024-11-28,1
2024-11-29,1
2024-12-01,8
2024-12-03,3
2024-12-05,2
2024-12-06,1
2024-12-07,2
2024-12-08,3
2024-12-09,1
2024-12-12,1
2024-12-13,3
2024-12-14,1
2024-12-16,1
2024-12-20,2
2024-12-21,5
2024-12-22,7
2024-12-23,6
2024-12-24,4
2024-12-25,6
2024-12-26,2
2024-12-28,3
2024-12-29,1
2024-12-30,7
2024-12-31,4
2025-01-01,2
2025-01-02,4
2025-01-04,1
2025-01-05,1
2025-01-06,6
2025-01-08,3
2025-01-10,1
2025-01-11,5
2025-01-12,4
2025-01-13,7
2025-01-15,1
2025-01-16,8
2025-01-17,4
2025-01-18,2
2025-01-19,11
2025-01-20,2
2025-01-21,3
2025-01-22,6
2025-01-23,1
2025-01-24,2
2025-01-25,3
2025-01-26,11
2025-01-27,2
2025-01-28,13
2025-01-29,3
2025-01-30,7
2025-01-31,17
2025-03-01,19
2025-03-02,4
2025-03-03,1
2025-03-04,5
2025-03-06,7
2025-03-07,5
2025-03-08,2
2025-03-09,8
2025-03-10,4
2025-03-11,1
2025-03-12,6
2025-03-13,2
2025-03-14,6
2025-03-15,17
2025-03-16,5
2025-03-18,1
2025-03-19,1
2025-03-20,1
2025-03-21,1
2025-03-22,1
2025-03-23,9
