art,gbif_id,datum,lat,lon,monat,hoehe,regen_reife,regen_frisch,regentage,tage_seit_regen,regen_60,bilanz_14,bilanz_60,temp,bt07,bf07,bt728,bf728,frosttage,min_temp,min_boden,tage_vorhanden,tage_lang,tage_et0
schwefelporling,6342075828,2026-05-28,53.24324,10.41784,5,15.0,25.9,0.0,6,8,115.6,-33.5,-70.8,14.6,19.7,0.07,17.3,0.132,,,,15,,
schwefelporling,6342087260,2026-05-21,52.18572,9.6044,5,107.0,54.3,20.9,11,1,161.5,39.7,2.9,9.9,11.6,0.288,10.7,0.271,,,,15,,
schwefelporling,6342092038,2026-05-17,53.42925,10.42067,5,74.0,40.0,13.0,8,3,97.8,14.3,-53.2,10.5,9.2,0.403,9.5,0.333,,,,15,,
schwefelporling,6342095680,2026-05-22,52.96845,11.84415,5,21.0,26.6,9.3,8,2,104.5,-8.7,-57.4,11.6,15.1,0.083,13.0,0.06,,,,15,,
schwefelporling,6342118425,2026-05-19,52.27524,10.51326,5,73.0,77.8,8.0,9,1,135.6,50.0,-27.3,10.4,11.6,0.229,10.7,0.248,,,,15,,
schwefelporling,6342291152,2026-05-22,52.29216,10.46388,5,86.0,43.7,8.5,7,2,140.8,9.6,-27.4,11.4,14.8,0.171,13.2,0.23,,,,15,,
schwefelporling,6342287203,2026-05-29,52.43372,9.3725,5,58.0,32.4,8.7,6,0,162.3,-16.7,-18.1,15.3,18.4,0.162,17.3,0.229,,,,15,,
schwefelporling,6342301661,2026-05-31,52.01157,9.65201,5,199.0,24.6,17.1,6,0,170.9,-20.7,-15.9,16.4,19.1,0.122,17.3,0.154,,,,15,,
schwefelporling,6342340143,2026-05-03,53.28831,10.78138,5,12.0,22.2,0.9,2,13,71.9,-25.3,-66.2,9.9,12.6,0.267,11.0,0.316,,,,15,,
schwefelporling,6342392838,2026-05-14,51.56417,10.15805,5,156.0,62.9,32.9,8,0,169.9,57.1,30.7,11.1,9.3,0.351,9.4,0.334,,,,15,,
schwefelporling,6342419313,2026-05-03,53.47052,10.04704,5,4.0,13.7,1.6,2,13,72.0,-33.7,-66.8,10.6,15.2,0.163,12.5,0.302,,,,15,,
schwefelporling,6342445890,2026-05-23,53.46292,9.93589,5,70.0,33.1,5.2,9,3,99.7,-4.2,-62.3,11.9,15.3,0.294,13.3,0.276,,,,15,,
schwefelporling,6342597311,2026-05-07,52.28072,10.51333,5,71.0,0.0,43.6,4,0,113.6,-9.4,-36.7,12.4,16.3,0.165,14.9,0.159,,,,15,,
schwefelporling,6342619281,2026-05-30,53.04215,11.43261,5,16.0,11.3,1.0,2,10,95.3,-53.2,-94.6,16.5,18.8,0.281,17.0,0.301,,,,15,,
schwefelporling,6342548662,2026-05-24,51.85561,10.67494,5,290.0,63.7,0.8,10,4,232.2,19.8,76.1,11.7,15.3,0.321,13.7,0.348,,,,15,,
schwefelporling,6342630342,2026-05-26,52.89411,9.62614,5,39.0,43.2,0.0,8,6,127.8,-5.8,-40.7,13.0,17.0,0.278,15.2,0.294,,,,15,,
schwefelporling,6342685174,2026-05-15,52.41538,10.07497,5,60.0,60.4,24.7,8,1,130.9,43.8,-19.7,11.7,9.7,0.335,9.9,0.273,,,,15,,
schwefelporling,6342678157,2026-05-13,51.52862,9.94658,5,169.0,58.8,21.2,7,0,152.4,35.8,5.8,11.5,9.7,0.323,9.8,0.299,,,,15,,
schwefelporling,6342649076,2026-05-19,51.81231,11.14998,5,130.0,81.0,3.5,10,4,169.6,49.8,13.6,10.0,10.6,0.312,10.3,0.305,,,,15,,
schwefelporling,6342706615,2026-05-16,53.08842,11.8724,5,32.0,41.7,15.7,6,2,122.1,17.4,-25.7,11.1,8.9,0.309,9.2,0.215,,,,15,,
schwefelporling,6342747402,2026-05-03,53.47449,10.06185,5,0.0,14.9,0.6,2,13,72.3,-34.5,-66.8,10.6,15.2,0.192,12.6,0.279,,,,15,,
schwefelporling,6342761143,2026-05-27,53.07289,11.4299,5,26.0,27.4,0.1,4,7,120.7,-31.1,-56.0,14.6,19.3,0.302,17.0,0.291,,,,15,,
schwefelporling,6342786114,2026-05-16,52.09807,10.22601,5,131.0,60.3,22.0,9,2,135.5,44.4,-17.9,11.0,8.4,0.337,8.8,0.285,,,,15,,
schwefelporling,6342797320,2026-05-05,52.0961,9.3362,5,234.0,0.0,10.3,2,1,85.8,-40.8,-52.3,10.7,13.7,0.144,12.1,0.211,,,,15,,
schwefelporling,6342801993,2026-05-10,53.4893,9.87815,5,4.0,13.0,0.2,3,4,89.6,-40.9,-57.0,12.6,13.4,0.05,12.4,0.041,,,,15,,
schwefelporling,6342873353,2026-05-21,51.5482,10.69616,5,275.0,46.7,15.0,10,1,182.5,26.3,34.5,9.3,10.8,0.316,10.2,0.326,,,,15,,
schwefelporling,6342812696,2026-05-14,53.29304,10.72602,5,10.0,24.2,27.2,7,0,107.0,7.8,-41.8,11.5,10.0,0.413,10.2,0.339,,,,15,,
schwefelporling,6342986329,2026-05-14,52.43239,9.94264,5,76.0,45.1,39.5,8,0,130.5,42.4,-18.1,11.9,10.0,0.325,10.1,0.262,,,,15,,
schwefelporling,6342971941,2026-05-03,52.09791,10.22568,5,131.0,22.4,0.0,2,13,73.5,-29.1,-74.8,10.3,13.7,0.116,12.0,0.149,,,,15,,
schwefelporling,6342997434,2026-05-24,52.18978,9.60797,5,92.0,63.4,1.4,10,4,161.5,20.8,-4.1,11.7,15.5,0.268,13.8,0.254,,,,15,,
schwefelporling,6343495579,2026-05-24,52.18574,9.60439,5,92.0,63.4,1.4,10,4,161.5,20.8,-4.1,11.7,15.5,0.268,13.8,0.254,,,,15,,
schwefelporling,6344571985,2026-05-24,52.18711,9.60607,5,92.0,63.4,1.4,10,4,161.5,20.8,-4.1,11.7,15.5,0.268,13.8,0.254,,,,15,,
