id,lat,lon
W0264,52.3383,10.5135
W1384,52.3473,10.52868
W0265,52.3383,10.5726
W0266,52.3383,10.6021
W0267,52.3383,10.6317
W0268,52.3383,10.6612
W0269,52.3383,10.6908
W0270,52.3383,10.7203
W0271,52.3383,10.7498
W1385,52.3473,10.76519
W0293,52.3563,10.8089
W0294,52.3563,10.8384
W0272,52.3383,10.868
W0273,52.3383,10.8975
W0274,52.3383,10.9271
W0275,52.3383,10.9566
W0276,52.3383,10.9861
W0297,52.3563,11.0157
W0298,52.3563,11.0452
W0299,52.3563,11.0747
W0277,52.3383,11.1043
W0278,52.3383,11.1338
W1386,52.3473,11.14953
W0302,52.3743,10.1
W1387,52.36532,10.14435
W0303,52.3743,10.1886
W1388,52.36532,10.20347
W1389,52.36532,10.23304
W1390,52.36532,10.2626
W0304,52.3743,10.3068
W0305,52.3743,10.3363
W0306,52.3743,10.3658
W0307,52.3743,10.3954
W0308,52.3743,10.4249
W1391,52.36532,10.43999
