id,lat,lon,ph,cec,sand,clay,silt,humus,stickstoff
W0201,52.2842,10.3363,5.13,23.67,32.83,22.87,44.3,49.07,3.48
W0202,52.2842,10.3658,6.53,22.3,40.93,23.13,35.93,33.03,3.0
W0203,52.2842,10.3954,5.37,22.0,33.97,23.27,42.77,45.2,3.53
W0209,52.2842,10.6317,5.27,23.8,41.03,23.5,35.43,50.4,4.52
W0210,52.2842,10.7203,6.8,23.4,38.67,25.6,35.77,31.93,4.23
W0211,52.2842,10.8089,4.97,22.9,49.77,17.4,32.8,43.53,3.88
W0212,52.2842,10.8384,5.1,22.6,51.0,21.47,27.53,42.8,4.34
W0213,52.2842,10.868,5.23,22.47,35.57,22.47,41.97,48.57,3.58
W0214,52.2842,10.8975,5.17,21.67,37.3,20.6,42.1,50.13,3.34
W0215,52.2842,11.0157,5.0,22.6,23.5,21.37,55.13,60.43,3.22
W0216,52.2842,11.0452,5.03,21.83,33.37,18.53,48.03,48.27,3.65
W0217,52.2842,11.0747,6.23,22.27,41.27,18.4,40.33,39.13,3.48
W0218,52.2842,11.1043,6.43,23.53,43.2,19.17,37.67,30.5,4.27
W0219,52.2842,11.1338,5.63,22.17,43.93,16.77,39.3,46.67,4.35
W0221,52.3023,10.2772,6.67,21.33,35.2,23.2,41.57,37.3,2.87
W0223,52.3023,10.3363,5.4,22.13,27.83,24.0,48.17,46.33,3.44
W0224,52.3023,10.3658,5.13,21.57,31.67,24.03,44.33,44.93,3.06
W0225,52.3023,10.4249,5.6,22.77,34.03,25.03,40.9,39.83,3.17
W0228,52.3023,10.6317,5.93,24.9,48.17,18.73,33.13,50.6,4.55
W0229,52.3023,10.6612,6.37,24.3,46.33,18.93,34.67,36.13,4.43
W0230,52.3023,10.6908,5.27,24.2,50.0,20.5,29.5,66.17,4.58
W0231,52.3023,10.7203,5.93,22.67,48.07,21.53,30.33,35.2,3.46
W0232,52.3023,10.8089,5.97,22.47,47.17,21.1,31.73,39.17,4.17
W0233,52.3023,10.8384,6.3,21.23,50.07,21.0,28.93,35.67,4.18
W0234,52.3023,10.868,6.17,21.7,45.77,20.63,33.6,44.63,4.29
W0235,52.3023,10.8975,6.7,23.3,45.27,23.63,31.03,41.83,4.59
W0236,52.3023,10.9271,5.33,24.1,43.43,23.17,33.43,61.6,5.27
