datum,ort,lat,lon,regen_icon,regen_era5,temperatur,bt07,bf07,bt728,bf728,et0,quelle
2026-08-01,W0103,52.1761,10.484,0.8,,19.0,20.9,0.172,21.0,0.141,3.58,icon_d2
2026-08-01,W0104,52.1761,10.5431,1.7,,19.2,21.2,0.162,21.2,0.147,3.61,icon_d2
2026-08-01,W0105,52.1761,10.7794,0.9,,18.2,20.5,0.145,20.7,0.148,3.46,icon_d2
2026-08-01,W0106,52.1761,10.8089,0.9,,18.1,20.5,0.145,20.7,0.148,3.45,icon_d2
2026-08-01,W0107,52.1761,10.8384,1.2,,18.3,20.5,0.145,20.7,0.148,3.36,icon_d2
2026-08-01,W0108,52.1761,10.868,1.4,,18.2,20.5,0.145,20.7,0.148,3.35,icon_d2
2026-08-01,W0109,52.1761,10.8975,3.4,,18.3,22.0,0.185,22.1,0.149,3.35,icon_d2
2026-08-01,W0110,52.1761,10.9271,3.4,,18.7,21.9,0.168,21.7,0.145,3.39,icon_d2
2026-08-01,W0111,52.1761,10.9566,4.5,,18.8,21.9,0.168,21.7,0.145,3.41,icon_d2
2026-08-01,W0112,52.1761,10.9861,5.4,,19.1,21.9,0.168,21.7,0.145,3.48,icon_d2
2026-08-01,W0113,52.1761,11.0157,5.3,,18.8,21.9,0.168,21.7,0.145,3.41,icon_d2
2026-08-01,W0114,52.1761,11.0452,7.2,,18.8,22.3,0.201,22.5,0.148,3.44,icon_d2
2026-08-01,W0115,52.1761,11.1043,6.4,,18.5,21.8,0.194,22.1,0.15,3.32,icon_d2
2026-08-01,W0116,52.1941,10.1,0.3,,18.6,21.3,0.145,21.2,0.146,3.91,icon_d2
2026-08-01,W0117,52.1941,10.3068,0.3,,18.7,21.5,0.141,21.7,0.142,3.86,icon_d2
2026-08-01,W0118,52.1941,10.3363,0.0,,18.8,21.5,0.141,21.7,0.142,3.79,icon_d2
2026-08-01,W0119,52.1941,10.5431,1.4,,19.0,20.9,0.172,21.0,0.141,3.63,icon_d2
2026-08-01,W0120,52.1941,10.6317,1.8,,19.1,20.2,0.208,19.9,0.143,3.65,icon_d2
2026-08-01,W0121,52.1941,10.6908,1.5,,18.8,20.2,0.208,19.9,0.143,3.63,icon_d2
2026-08-01,W0122,52.1941,10.7203,1.4,,18.4,20.5,0.145,20.7,0.148,3.56,icon_d2
2026-08-01,W0123,52.1941,10.7498,0.7,,17.3,19.3,0.145,19.6,0.148,3.36,icon_d2
2026-08-01,W0124,52.1941,10.7794,0.7,,17.7,19.7,0.145,19.9,0.148,3.39,icon_d2
2026-08-01,W0125,52.1941,10.8089,0.8,,17.7,19.6,0.145,19.8,0.148,3.34,icon_d2
2026-08-01,W0126,52.1941,10.8384,0.6,,17.9,20.5,0.145,20.7,0.148,3.41,icon_d2
2026-08-01,W0127,52.1941,10.868,1.0,,18.7,20.5,0.145,20.7,0.148,3.52,icon_d2
2026-08-01,W0128,52.1941,10.9271,2.3,,18.9,21.9,0.168,21.7,0.145,3.45,icon_d2
2026-08-01,W0129,52.1941,10.9566,4.0,,18.6,21.9,0.168,21.7,0.145,3.39,icon_d2
2026-08-01,W0130,52.1941,11.0452,3.6,,18.8,21.8,0.194,22.1,0.15,3.39,icon_d2
2026-08-01,W0131,52.1941,11.0747,4.5,,18.5,21.8,0.194,22.1,0.15,3.29,icon_d2
2026-08-01,W0132,52.1941,11.1043,4.5,,18.7,21.8,0.194,22.1,0.15,3.3,icon_d2
2026-08-01,W0133,52.2122,10.3363,0.4,,18.7,21.5,0.141,21.7,0.142,3.7,icon_d2
2026-08-01,W0134,52.2122,10.5431,0.7,,19.2,21.2,0.147,21.4,0.142,3.84,icon_d2
2026-08-01,W0135,52.2122,10.5726,1.0,,19.0,20.2,0.208,19.9,0.143,3.71,icon_d2
2026-08-01,W0136,52.2122,10.6021,1.0,,19.2,20.2,0.208,19.9,0.143,3.73,icon_d2
2026-08-01,W0137,52.2122,10.7203,1.6,,17.8,19.7,0.145,20.0,0.148,3.42,icon_d2
2026-08-01,W0138,52.2122,10.7498,1.6,,17.9,20.5,0.145,20.7,0.148,3.44,icon_d2
2026-08-01,W0139,52.2122,10.7794,1.0,,17.3,19.4,0.145,19.7,0.148,3.32,icon_d2
2026-08-01,W0140,52.2122,10.8089,0.9,,17.4,19.6,0.145,19.8,0.148,3.34,icon_d2
2026-08-01,W0141,52.2122,10.8384,0.7,,18.2,20.5,0.145,20.7,0.148,3.52,icon_d2
2026-08-01,W0142,52.2122,10.8975,0.7,,18.6,21.9,0.168,21.7,0.145,3.51,icon_d2
2026-08-01,W0143,52.2122,10.9271,0.5,,18.7,21.9,0.168,21.7,0.145,3.42,icon_d2
2026-08-01,W0144,52.2122,10.9566,1.6,,18.5,21.9,0.168,21.7,0.145,3.37,icon_d2
2026-08-01,W0145,52.2122,10.9861,3.0,,18.8,21.9,0.168,21.7,0.145,3.41,icon_d2
2026-08-01,W0146,52.2122,11.0157,2.7,,19.4,21.9,0.168,21.7,0.145,3.39,icon_d2
2026-08-01,W0147,52.2122,11.0452,2.8,,18.5,21.8,0.194,22.1,0.15,3.3,icon_d2
2026-08-01,W0148,52.2122,11.0747,3.2,,18.5,21.8,0.194,22.1,0.15,3.26,icon_d2
2026-08-01,W0149,52.2122,11.1043,2.3,,18.9,21.8,0.194,22.1,0.15,3.38,icon_d2
2026-08-01,W0150,52.2122,11.1338,3.0,,19.0,21.8,0.194,22.1,0.15,3.41,icon_d2
2026-08-01,W0151,52.2302,10.5431,0.4,,19.2,21.2,0.147,21.4,0.142,3.77,icon_d2
